merchant_id,merchant_name,business_category,merchant_tier,onboard_date,state,city,kyc_status,risk_category,account_manager_id,monthly_gmv_band,is_active,churn_date,created_at
MER00001,PharmaEase Health,HealthTech,Platinum,2021-10-09,Karnataka,Bengaluru,Verified,High,AM003,1L-10L,TRUE,,2021-10-09 00:00:00
MER00002,LearnNow EdTech,E-Commerce,Gold,2021-08-27,Maharashtra,Pune,Verified,Medium,AM014,<1L,TRUE,,2021-08-27 00:00:00
MER00003,FinSecure Broking,HealthTech,Bronze,2021-01-07,Telangana,Nizamabad,Verified,Low,AM011,<1L,TRUE,,2021-01-07 00:00:00
MER00004,HealthFirst Clinics,E-Commerce,Silver,2021-12-19,Karnataka,Mangaluru,Verified,Critical,AM013,<1L,TRUE,,2021-12-19 00:00:00
MER00005,PlayStream Media,Logistics,Silver,2023-06-02,Andhra Pradesh,Visakhapatnam,Verified,Low,AM010,>1Cr,TRUE,,2023-06-02 00:00:00
MER00006,QuickFix Services,FMCG,Bronze,2022-01-25,Delhi,Dwarka,Verified,Low,AM009,10L-1Cr,TRUE,,2022-01-25 00:00:00
MER00007,RapidShip Courier,Logistics,Platinum,2022-10-13,Punjab,Ludhiana,Verified,Low,AM018,<1L,TRUE,,2022-10-13 00:00:00
MER00008,ByteCart Technologies,E-Commerce,Bronze,2021-02-27,Andhra Pradesh,Guntur,Verified,Low,AM019,10L-1Cr,TRUE,,2021-02-27 00:00:00
MER00009,ByteCart Technologies317,SaaS,Silver,2022-10-21,Punjab,Ludhiana,Verified,Medium,AM009,10L-1Cr,TRUE,,2022-10-21 00:00:00
MER00010,CargoExpress Logistics,HealthTech,Silver,2022-01-06,Bihar,Bhagalpur,Verified,Low,AM004,<1L,TRUE,,2022-01-06 00:00:00
MER00011,FreshDeal FMCG,Media & Entertainment,Bronze,2022-09-03,Madhya Pradesh,Gwalior,Verified,Critical,AM001,10L-1Cr,FALSE,2023-11-27,2022-09-03 00:00:00
MER00012,SwiftLog Solutions,FMCG,Bronze,2023-02-08,Punjab,Amritsar,Verified,Low,AM001,>1Cr,TRUE,,2023-02-08 00:00:00
MER00013,AgroLink Farms,Insurance,Gold,2022-05-28,Kerala,Kochi,Pending,Low,AM017,1L-10L,TRUE,,2022-05-28 00:00:00
MER00014,CloudSuite SaaS,Insurance,Bronze,2022-07-07,Gujarat,Ahmedabad,Verified,Low,AM004,>1Cr,TRUE,,2022-07-07 00:00:00
MER00015,AgroLink Farms951,Media & Entertainment,Silver,2021-03-01,Madhya Pradesh,Bhopal,Verified,Low,AM003,>1Cr,TRUE,,2021-03-01 00:00:00
MER00016,StyleHub Fashion,Insurance,Gold,2022-11-07,Madhya Pradesh,Indore,Verified,High,AM014,>1Cr,TRUE,,2022-11-07 00:00:00
MER00017,PrintPro Design,SaaS,Bronze,2022-12-08,Uttar Pradesh,Varanasi,Rejected,Medium,AM015,10L-1Cr,TRUE,,2022-12-08 00:00:00
MER00018,DataDrive Analytics,Media & Entertainment,Gold,2021-03-07,Karnataka,Mysuru,Verified,Low,AM002,<1L,TRUE,,2021-03-07 00:00:00
MER00019,AgroLink Farms132,Retail,Silver,2022-06-11,Andhra Pradesh,Vijayawada,Verified,Medium,AM019,1L-10L,TRUE,,2022-06-11 00:00:00
MER00020,QuickMart Retail,EdTech,Silver,2022-02-21,Madhya Pradesh,Gwalior,Verified,Low,AM002,10L-1Cr,TRUE,,2022-02-21 00:00:00
MER00021,PharmaEase Health200,EdTech,Silver,2021-12-14,Maharashtra,Pune,Verified,Medium,AM005,1L-10L,TRUE,,2021-12-14 00:00:00
MER00022,SafeShield Insurance,Insurance,Gold,2021-03-19,West Bengal,Kolkata,Verified,Critical,AM001,>1Cr,TRUE,,2021-03-19 00:00:00
MER00023,PrintPro Design871,Logistics,Gold,2022-02-21,Andhra Pradesh,Nellore,Pending,Low,AM001,>1Cr,TRUE,,2022-02-21 00:00:00
MER00024,SafeShield Insurance902,Insurance,Silver,2022-03-10,Madhya Pradesh,Gwalior,Verified,Low,AM002,1L-10L,TRUE,,2022-03-10 00:00:00
MER00025,StyleHub Fashion162,Insurance,Silver,2021-02-21,Kerala,Thiruvananthapuram,Verified,Medium,AM006,<1L,TRUE,,2021-02-21 00:00:00
MER00026,MediQuick Health,Media & Entertainment,Bronze,2022-02-18,Punjab,Ludhiana,Verified,Low,AM003,1L-10L,TRUE,,2022-02-18 00:00:00
MER00027,FinSecure Broking678,FMCG,Silver,2021-09-25,Uttar Pradesh,Kanpur,Verified,Low,AM010,1L-10L,TRUE,,2021-09-25 00:00:00
MER00028,PrintPro Design869,Media & Entertainment,Platinum,2022-04-15,Bihar,Patna,Verified,Low,AM009,<1L,TRUE,,2022-04-15 00:00:00
MER00029,EduPath Learning,HealthTech,Platinum,2021-09-08,Bihar,Bhagalpur,Pending,Medium,AM020,>1Cr,TRUE,,2021-09-08 00:00:00
MER00030,DevOps360 SaaS,SaaS,Silver,2022-11-15,Punjab,Amritsar,Pending,Low,AM004,10L-1Cr,TRUE,,2022-11-15 00:00:00
MER00031,StreamZone OTT,FMCG,Gold,2021-10-16,Uttar Pradesh,Kanpur,Verified,High,AM017,1L-10L,TRUE,,2021-10-16 00:00:00
MER00032,AgroLink Farms966,E-Commerce,Gold,2022-03-10,Maharashtra,Mumbai,Verified,Low,AM009,<1L,TRUE,,2022-03-10 00:00:00
MER00033,DataDrive Analytics664,HealthTech,Silver,2021-01-10,Kerala,Kochi,Pending,Medium,AM005,1L-10L,TRUE,,2021-01-10 00:00:00
MER00034,LearnNow EdTech415,E-Commerce,Bronze,2023-03-27,Gujarat,Vadodara,Verified,Low,AM004,1L-10L,TRUE,,2023-03-27 00:00:00
MER00035,StyleHub Fashion995,Logistics,Bronze,2023-02-07,Rajasthan,Jodhpur,Rejected,High,AM014,<1L,TRUE,,2023-02-07 00:00:00
MER00036,StreamZone OTT440,Logistics,Bronze,2023-04-02,Madhya Pradesh,Jabalpur,Verified,Medium,AM013,10L-1Cr,TRUE,,2023-04-02 00:00:00
MER00037,QuickFix Services581,Logistics,Gold,2022-04-17,Delhi,Dwarka,Verified,Low,AM011,<1L,TRUE,,2022-04-17 00:00:00
MER00038,MediQuick Health891,Insurance,Silver,2022-06-06,Telangana,Karimnagar,Pending,Low,AM009,<1L,TRUE,,2022-06-06 00:00:00
MER00039,SafeShield Insurance139,FMCG,Silver,2021-12-20,Karnataka,Mangaluru,Verified,Medium,AM013,10L-1Cr,TRUE,,2021-12-20 00:00:00
MER00040,JetTravel Pvt Ltd,Logistics,Platinum,2022-03-23,Telangana,Karimnagar,Verified,High,AM011,1L-10L,FALSE,2023-11-24,2022-03-23 00:00:00
MER00041,RapidShip Courier968,Travel,Bronze,2021-11-04,Karnataka,Hubli,Verified,Low,AM005,<1L,TRUE,,2021-11-04 00:00:00
MER00042,RapidShip Courier488,SaaS,Bronze,2021-06-28,Punjab,Patiala,Verified,Low,AM010,<1L,TRUE,,2021-06-28 00:00:00
MER00043,DevOps360 SaaS693,Logistics,Bronze,2022-04-22,Haryana,Hisar,Verified,Critical,AM006,10L-1Cr,TRUE,,2022-04-22 00:00:00
MER00044,PlayStream Media627,Logistics,Bronze,2021-12-10,Punjab,Jalandhar,Verified,Low,AM001,<1L,TRUE,,2021-12-10 00:00:00
MER00045,GrocerFast App,Media & Entertainment,Bronze,2021-03-16,Haryana,Faridabad,Verified,Low,AM013,<1L,TRUE,,2021-03-16 00:00:00
MER00046,PharmaEase Health804,EdTech,Bronze,2023-06-01,Maharashtra,Thane,Verified,High,AM017,1L-10L,TRUE,,2023-06-01 00:00:00
MER00047,StyleHub Fashion355,Retail,Bronze,2022-04-13,Bihar,Muzaffarpur,Rejected,High,AM020,10L-1Cr,TRUE,,2022-04-13 00:00:00
MER00048,AgroLink Farms616,HealthTech,Bronze,2022-07-16,Rajasthan,Kota,Verified,Medium,AM009,10L-1Cr,TRUE,,2022-07-16 00:00:00
MER00049,SkyFly Travels,SaaS,Silver,2021-10-09,West Bengal,Howrah,Verified,Low,AM018,<1L,TRUE,,2021-10-09 00:00:00
MER00050,CloudSuite SaaS336,Travel,Bronze,2022-12-25,Rajasthan,Kota,Verified,Low,AM002,<1L,TRUE,,2022-12-25 00:00:00
MER00051,CargoExpress Logistics498,Travel,Bronze,2022-12-14,Bihar,Bhagalpur,Verified,Low,AM013,10L-1Cr,FALSE,2024-09-23,2022-12-14 00:00:00
MER00052,MegaMall Retail,Media & Entertainment,Silver,2023-01-23,Rajasthan,Jodhpur,Verified,Low,AM016,<1L,TRUE,,2023-01-23 00:00:00
MER00053,ByteCart Technologies784,Retail,Bronze,2023-01-12,Punjab,Ludhiana,Rejected,Medium,AM013,1L-10L,TRUE,,2023-01-12 00:00:00
MER00054,RapidShip Courier127,HealthTech,Bronze,2021-05-19,Karnataka,Bengaluru,Verified,Low,AM015,1L-10L,TRUE,,2021-05-19 00:00:00
MER00055,LeapEdu Platform,Travel,Silver,2023-02-10,Bihar,Muzaffarpur,Pending,Low,AM018,<1L,TRUE,,2023-02-10 00:00:00
MER00056,EduPath Learning329,Logistics,Platinum,2022-10-30,Punjab,Ludhiana,Pending,Medium,AM008,<1L,FALSE,2023-01-29,2022-10-30 00:00:00
MER00057,RapidShip Courier217,FMCG,Bronze,2022-04-22,Haryana,Faridabad,Verified,Critical,AM004,10L-1Cr,TRUE,,2022-04-22 00:00:00
MER00058,FreshDeal FMCG418,Travel,Silver,2021-11-16,Karnataka,Mangaluru,Rejected,Low,AM019,10L-1Cr,TRUE,,2021-11-16 00:00:00
MER00059,PharmaEase Health348,Media & Entertainment,Bronze,2021-11-05,Karnataka,Bengaluru,Verified,Medium,AM002,1L-10L,TRUE,,2021-11-05 00:00:00
MER00060,CargoExpress Logistics777,Travel,Platinum,2022-10-26,Gujarat,Rajkot,Verified,Critical,AM015,10L-1Cr,TRUE,,2022-10-26 00:00:00
MER00061,CargoExpress Logistics280,Insurance,Silver,2022-10-29,Kerala,Thrissur,Verified,High,AM019,<1L,TRUE,,2022-10-29 00:00:00
MER00062,QuickFix Services351,Logistics,Bronze,2021-10-13,Andhra Pradesh,Nellore,Verified,Medium,AM011,<1L,TRUE,,2021-10-13 00:00:00
MER00063,QuickFix Services432,FMCG,Silver,2021-12-30,Tamil Nadu,Madurai,Pending,Medium,AM009,1L-10L,TRUE,,2021-12-30 00:00:00
MER00064,SkyFly Travels295,Logistics,Gold,2022-02-21,Karnataka,Mangaluru,Verified,Low,AM001,<1L,TRUE,,2022-02-21 00:00:00
MER00065,QuickMart Retail514,Retail,Gold,2022-11-11,Kerala,Kozhikode,Verified,Medium,AM011,1L-10L,TRUE,,2022-11-11 00:00:00
MER00066,DataDrive Analytics377,FMCG,Gold,2021-05-04,Telangana,Hyderabad,Verified,Critical,AM006,<1L,TRUE,,2021-05-04 00:00:00
MER00067,StreamZone OTT595,SaaS,Bronze,2023-02-18,Telangana,Hyderabad,Pending,Low,AM012,<1L,TRUE,,2023-02-18 00:00:00
MER00068,ShopKart India,Insurance,Silver,2021-10-08,Kerala,Kozhikode,Verified,Low,AM016,<1L,FALSE,2022-01-31,2021-10-08 00:00:00
MER00069,ShopKart India687,E-Commerce,Silver,2022-03-28,Telangana,Karimnagar,Rejected,Low,AM003,1L-10L,TRUE,,2022-03-28 00:00:00
MER00070,MediQuick Health690,Media & Entertainment,Bronze,2021-06-05,Punjab,Jalandhar,Verified,Low,AM018,10L-1Cr,TRUE,,2021-06-05 00:00:00
MER00071,TechNation Cloud,Travel,Bronze,2021-08-20,Haryana,Hisar,Pending,Low,AM019,>1Cr,TRUE,,2021-08-20 00:00:00
MER00072,PlayStream Media682,Logistics,Platinum,2023-01-28,Haryana,Faridabad,Verified,Low,AM008,<1L,TRUE,,2023-01-28 00:00:00
MER00073,MediQuick Health260,SaaS,Silver,2022-12-07,Maharashtra,Mumbai,Verified,Medium,AM015,<1L,TRUE,,2022-12-07 00:00:00
MER00074,QuickMart Retail370,Logistics,Bronze,2022-08-27,Madhya Pradesh,Gwalior,Verified,Low,AM005,>1Cr,TRUE,,2022-08-27 00:00:00
MER00075,MegaMall Retail245,Media & Entertainment,Platinum,2023-03-23,Karnataka,Hubli,Verified,Low,AM010,10L-1Cr,TRUE,,2023-03-23 00:00:00
MER00076,SafeShield Insurance612,Travel,Silver,2021-03-24,Uttar Pradesh,Agra,Verified,Low,AM008,>1Cr,TRUE,,2021-03-24 00:00:00
MER00077,MegaMall Retail981,SaaS,Silver,2021-01-22,Haryana,Gurugram,Verified,Low,AM017,10L-1Cr,TRUE,,2021-01-22 00:00:00
MER00078,PrintPro Design384,Retail,Bronze,2022-03-23,Tamil Nadu,Chennai,Verified,Low,AM011,10L-1Cr,TRUE,,2022-03-23 00:00:00
MER00079,QuickFix Services264,Travel,Silver,2022-05-23,Gujarat,Ahmedabad,Verified,Low,AM011,<1L,TRUE,,2022-05-23 00:00:00
MER00080,LeapEdu Platform513,Insurance,Silver,2021-01-02,Andhra Pradesh,Nellore,Verified,Low,AM012,1L-10L,TRUE,,2021-01-02 00:00:00
MER00081,GrocerFast App740,HealthTech,Bronze,2021-07-28,West Bengal,Durgapur,Verified,Medium,AM004,<1L,TRUE,,2021-07-28 00:00:00
MER00082,PharmaEase Health723,E-Commerce,Gold,2021-06-12,Madhya Pradesh,Gwalior,Verified,Critical,AM004,1L-10L,TRUE,,2021-06-12 00:00:00
MER00083,SwiftLog Solutions763,SaaS,Gold,2023-01-04,Andhra Pradesh,Nellore,Pending,Critical,AM008,1L-10L,TRUE,,2023-01-04 00:00:00
MER00084,CloudSuite SaaS492,HealthTech,Bronze,2022-06-05,Delhi,New Delhi,Verified,Medium,AM014,1L-10L,TRUE,,2022-06-05 00:00:00
MER00085,DevOps360 SaaS619,Media & Entertainment,Bronze,2021-10-17,Telangana,Nizamabad,Pending,Low,AM016,1L-10L,TRUE,,2021-10-17 00:00:00
MER00086,StyleHub Fashion881,Logistics,Silver,2021-11-26,Uttar Pradesh,Varanasi,Verified,Medium,AM002,1L-10L,TRUE,,2021-11-26 00:00:00
MER00087,GrocerFast App822,HealthTech,Bronze,2022-01-31,Bihar,Bhagalpur,Rejected,Low,AM019,1L-10L,TRUE,,2022-01-31 00:00:00
MER00088,SwiftLog Solutions995,E-Commerce,Silver,2022-06-23,Andhra Pradesh,Vijayawada,Verified,Medium,AM005,<1L,TRUE,,2022-06-23 00:00:00
MER00089,DevOps360 SaaS371,FMCG,Silver,2022-02-12,Gujarat,Rajkot,Rejected,Medium,AM016,10L-1Cr,TRUE,,2022-02-12 00:00:00
MER00090,LearnNow EdTech732,Logistics,Gold,2022-12-02,Karnataka,Bengaluru,Verified,Low,AM004,1L-10L,TRUE,,2022-12-02 00:00:00
MER00091,GreenMart Organic,E-Commerce,Bronze,2021-02-17,Telangana,Karimnagar,Verified,Low,AM008,1L-10L,TRUE,,2021-02-17 00:00:00
MER00092,FinSecure Broking798,Media & Entertainment,Gold,2021-06-29,Madhya Pradesh,Indore,Verified,Medium,AM008,1L-10L,FALSE,2022-09-23,2021-06-29 00:00:00
MER00093,SafeShield Insurance570,SaaS,Bronze,2023-04-04,Telangana,Warangal,Verified,High,AM019,<1L,TRUE,,2023-04-04 00:00:00
MER00094,CargoExpress Logistics806,Travel,Silver,2021-11-06,Telangana,Nizamabad,Verified,Low,AM012,1L-10L,TRUE,,2021-11-06 00:00:00
MER00095,GreenMart Organic402,E-Commerce,Bronze,2022-11-06,Maharashtra,Mumbai,Pending,Medium,AM010,10L-1Cr,TRUE,,2022-11-06 00:00:00
MER00096,QuickMart Retail721,SaaS,Silver,2022-10-14,Madhya Pradesh,Indore,Verified,High,AM002,1L-10L,TRUE,,2022-10-14 00:00:00
MER00097,DataDrive Analytics134,SaaS,Silver,2021-05-15,Haryana,Ambala,Verified,Low,AM005,10L-1Cr,TRUE,,2021-05-15 00:00:00
MER00098,AgroLink Farms474,SaaS,Silver,2021-10-07,Uttar Pradesh,Varanasi,Rejected,Low,AM011,10L-1Cr,TRUE,,2021-10-07 00:00:00
MER00099,DataDrive Analytics177,Travel,Bronze,2021-08-20,Tamil Nadu,Madurai,Verified,Low,AM009,1L-10L,TRUE,,2021-08-20 00:00:00
MER00100,DataDrive Analytics477,FMCG,Bronze,2021-09-26,Punjab,Amritsar,Verified,Low,AM020,10L-1Cr,TRUE,,2021-09-26 00:00:00
MER00101,StyleHub Fashion435,SaaS,Silver,2022-10-26,Bihar,Bhagalpur,Verified,Low,AM002,1L-10L,FALSE,2024-04-13,2022-10-26 00:00:00
MER00102,GrocerFast App218,Retail,Gold,2022-07-05,Karnataka,Hubli,Verified,Medium,AM018,1L-10L,TRUE,,2022-07-05 00:00:00
MER00103,StreamZone OTT844,Retail,Bronze,2022-11-02,Tamil Nadu,Salem,Pending,Low,AM012,<1L,TRUE,,2022-11-02 00:00:00
MER00104,DataDrive Analytics341,FMCG,Silver,2022-12-04,Andhra Pradesh,Visakhapatnam,Verified,Low,AM004,>1Cr,TRUE,,2022-12-04 00:00:00
MER00105,MegaMall Retail565,E-Commerce,Bronze,2022-10-20,Karnataka,Bengaluru,Verified,Low,AM005,10L-1Cr,TRUE,,2022-10-20 00:00:00
MER00106,JetTravel Pvt Ltd170,Logistics,Bronze,2021-08-01,Andhra Pradesh,Guntur,Verified,Medium,AM020,<1L,TRUE,,2021-08-01 00:00:00
MER00107,QuickFix Services248,E-Commerce,Silver,2023-03-29,Tamil Nadu,Coimbatore,Verified,Medium,AM008,1L-10L,TRUE,,2023-03-29 00:00:00
MER00108,ShopKart India278,EdTech,Platinum,2023-01-30,Telangana,Hyderabad,Verified,Medium,AM017,1L-10L,TRUE,,2023-01-30 00:00:00
MER00109,DataDrive Analytics615,Insurance,Bronze,2021-02-14,Delhi,Rohini,Verified,Critical,AM002,>1Cr,TRUE,,2021-02-14 00:00:00
MER00110,QuickFix Services511,Retail,Bronze,2022-05-18,Rajasthan,Jaipur,Pending,Low,AM005,<1L,TRUE,,2022-05-18 00:00:00
MER00111,SafeShield Insurance739,Media & Entertainment,Silver,2022-12-31,Punjab,Jalandhar,Verified,Medium,AM004,10L-1Cr,TRUE,,2022-12-31 00:00:00
MER00112,SwiftLog Solutions973,Logistics,Bronze,2023-02-27,Punjab,Patiala,Verified,Low,AM011,10L-1Cr,TRUE,,2023-02-27 00:00:00
MER00113,HealthFirst Clinics525,SaaS,Gold,2022-03-14,Kerala,Kozhikode,Rejected,Medium,AM016,<1L,TRUE,,2022-03-14 00:00:00
MER00114,MegaMall Retail187,HealthTech,Silver,2023-02-02,Karnataka,Bengaluru,Verified,Medium,AM011,10L-1Cr,TRUE,,2023-02-02 00:00:00
MER00115,CargoExpress Logistics462,E-Commerce,Bronze,2023-02-08,Andhra Pradesh,Guntur,Verified,Low,AM019,1L-10L,TRUE,,2023-02-08 00:00:00
MER00116,CloudSuite SaaS772,Insurance,Gold,2021-04-21,West Bengal,Durgapur,Verified,Low,AM008,10L-1Cr,TRUE,,2021-04-21 00:00:00
MER00117,QuickFix Services674,Insurance,Bronze,2022-09-21,Madhya Pradesh,Bhopal,Verified,Medium,AM009,<1L,TRUE,,2022-09-21 00:00:00
MER00118,SafeShield Insurance819,HealthTech,Silver,2021-12-14,Madhya Pradesh,Indore,Verified,Low,AM005,10L-1Cr,TRUE,,2021-12-14 00:00:00
MER00119,ShopKart India193,FMCG,Silver,2022-01-21,Kerala,Thiruvananthapuram,Verified,Medium,AM019,1L-10L,TRUE,,2022-01-21 00:00:00
MER00120,AgroLink Farms153,SaaS,Gold,2022-09-25,Tamil Nadu,Salem,Verified,Low,AM015,1L-10L,FALSE,2023-02-15,2022-09-25 00:00:00
MER00121,JetTravel Pvt Ltd873,Media & Entertainment,Gold,2022-03-17,Uttar Pradesh,Varanasi,Verified,Low,AM008,1L-10L,TRUE,,2022-03-17 00:00:00
MER00122,TechNation Cloud156,SaaS,Gold,2021-08-05,Maharashtra,Nagpur,Verified,Low,AM014,<1L,TRUE,,2021-08-05 00:00:00
MER00123,HealthFirst Clinics645,FMCG,Gold,2022-07-27,Kerala,Kochi,Verified,Medium,AM014,<1L,TRUE,,2022-07-27 00:00:00
MER00124,PrintPro Design179,Travel,Silver,2022-03-16,Andhra Pradesh,Guntur,Verified,Low,AM011,<1L,TRUE,,2022-03-16 00:00:00
MER00125,TechNation Cloud571,EdTech,Bronze,2022-01-06,Andhra Pradesh,Vijayawada,Verified,Low,AM003,1L-10L,TRUE,,2022-01-06 00:00:00
MER00126,PlayStream Media863,Insurance,Gold,2023-03-09,Gujarat,Ahmedabad,Verified,Low,AM012,1L-10L,TRUE,,2023-03-09 00:00:00
MER00127,MegaMall Retail760,Logistics,Gold,2021-04-16,Andhra Pradesh,Vijayawada,Verified,Medium,AM003,<1L,TRUE,,2021-04-16 00:00:00
MER00128,LeapEdu Platform743,Retail,Silver,2022-08-01,West Bengal,Durgapur,Pending,Medium,AM005,1L-10L,TRUE,,2022-08-01 00:00:00
MER00129,GrocerFast App552,FMCG,Silver,2021-10-09,Punjab,Amritsar,Verified,Low,AM002,1L-10L,TRUE,,2021-10-09 00:00:00
